date,state,cases
13-03-2020,al,6
14-03-2020,al,12
15-03-2020,al,23
16-03-2020,al,29
17-03-2020,al,39
18-03-2020,al,51
19-03-2020,al,78
20-03-2020,al,106
21-03-2020,al,131
22-03-2020,al,157
23-03-2020,al,196
24-03-2020,al,242
25-03-2020,al,386
26-03-2020,al,538
27-03-2020,al,639
28-03-2020,al,720
29-03-2020,al,830
30-03-2020,al,947
31-03-2020,al,999
01-04-2020,al,1108
02-04-2020,al,1270
03-04-2020,al,1535
04-04-2020,al,1632
05-04-2020,al,1840
06-04-2020,al,2005
07-04-2020,al,2197
08-04-2020,al,2498
09-04-2020,al,2838
10-04-2020,al,3008
11-04-2020,al,3262
12-04-2020,al,3583
13-04-2020,al,3805
14-04-2020,al,3953
15-04-2020,al,4241
16-04-2020,al,4404
17-04-2020,al,4572
18-04-2020,al,4723
19-04-2020,al,4903
20-04-2020,al,5078
21-04-2020,al,5327
22-04-2020,al,5610
23-04-2020,al,5832
24-04-2020,al,6026
25-04-2020,al,6213
26-04-2020,al,6421
27-04-2020,al,6539
28-04-2020,al,6750
29-04-2020,al,6925
30-04-2020,al,7068
01-05-2020,al,7294
02-05-2020,al,7611
03-05-2020,al,7888
04-05-2020,al,8112
05-05-2020,al,8437
06-05-2020,al,8691
07-05-2020,al,9046
08-05-2020,al,9385
09-05-2020,al,9668
10-05-2020,al,9889
11-05-2020,al,10164
12-05-2020,al,10464
13-05-2020,al,10700
14-05-2020,al,11101
15-05-2020,al,11373
16-05-2020,al,11674
17-05-2020,al,11771
18-05-2020,al,12086
19-05-2020,al,12376
20-05-2020,al,13052
21-05-2020,al,13414
22-05-2020,al,13670
23-05-2020,al,14149
24-05-2020,al,14478
25-05-2020,al,14986
26-05-2020,al,15650
27-05-2020,al,16032
28-05-2020,al,16530
29-05-2020,al,17031
30-05-2020,al,17359
31-05-2020,al,17952
01-06-2020,al,18534
02-06-2020,al,18771
03-06-2020,al,18851
04-06-2020,al,19072
05-06-2020,al,19387
06-06-2020,al,20043
07-06-2020,al,20500
08-06-2020,al,20925
09-06-2020,al,21422
10-06-2020,al,21989
11-06-2020,al,22845
12-06-2020,al,23710
13-06-2020,al,24601
14-06-2020,al,25615
15-06-2020,al,26272
16-06-2020,al,26912
17-06-2020,al,27312
18-06-2020,al,28206
19-06-2020,al,29002
20-06-2020,al,29549
21-06-2020,al,30021
22-06-2020,al,30454
23-06-2020,al,31097
24-06-2020,al,32064
25-06-2020,al,33206
26-06-2020,al,34183
27-06-2020,al,35083
28-06-2020,al,35441
29-06-2020,al,37175
30-06-2020,al,38045
01-07-2020,al,38962
02-07-2020,al,40111
03-07-2020,al,41865
04-07-2020,al,42862
05-07-2020,al,43953
06-07-2020,al,44878
07-07-2020,al,45785
08-07-2020,al,46962
09-07-2020,al,49174
10-07-2020,al,50508
11-07-2020,al,51947
12-07-2020,al,53587
13-07-2020,al,55545
14-07-2020,al,57255
15-07-2020,al,59067
16-07-2020,al,61088
17-07-2020,al,63091
18-07-2020,al,65234
19-07-2020,al,67011
20-07-2020,al,68891
