date,state_code,gender,age_bucket,pct_hh_cli_weighted,pct_cmnty_cli_weighted,pct_hh_fever_weighted,pct_hh_sore_throat_weighted,pct_hh_cough_weighted,pct_hh_shortness_of_breath_weighted,pct_hh_difficulty_breathing_weighted,pct_self_fever_weighted,pct_self_cough_weighted,pct_self_shortness_of_breath_weighted,pct_self_difficulty_breathing_weighted,pct_self_tiredness_or_exhaustion_weighted,pct_self_nasal_congestion_weighted,pct_self_runny_nose_weighted,pct_self_muscle_joint_aches_weighted,pct_self_sore_throat_weighted,pct_self_persistent_pain_pressure_in_chest_weighted,pct_self_nausea_vomiting_weighted,pct_self_diarrhea_weighted,pct_self_anosmia_ageusia_weighted,pct_self_other_weighted,pct_self_none_of_above_weighted,pct_self_multiple_symptoms_weighted,pct_worked_outside_home_weighted,pct_avoid_contact_all_or_most_time_weighted,pct_diabetes_weighted,pct_cancer_weighted,pct_heart_disease_weighted,pct_high_blood_pressure_weighted,pct_asthma_weighted,pct_chronic_lung_disease_weighted,pct_kidney_disease_weighted,pct_autoimmune_disorder_weighted,pct_no_above_medical_conditions_weighted,pct_multiple_medical_conditions_weighted,cases,daily_case
2020-04-17,ak,overall,overall,0.628,13.7019,0.628,4.7968,12.4514,4.9752,2.0978,0.628,7.48,3.8425,2.0978,11.1677,12.9346,14.2044,7.0108,4.9935,2.7098,2.3474,6.8338,0.628,0.7334,64.5955,14.4096,44.2217,76.1691,9.2839,3.6710000000000003,3.4297,21.9018,15.777000000000001,2.6192,0.8145,7.0081,56.763999999999996,15.2023,307,9.0
2020-04-18,ak,overall,overall,0.0,17.1224,0.0,4.0468,17.1023,2.9509,1.3619,0.0,10.0114,3.5527,1.3619,9.2552,8.6543,15.1563,9.8306,2.8365,3.0973,1.6962,4.9387,0.0,1.3377,63.5248,14.5359,40.5674,82.0044,6.3459,1.9051,6.4604,33.7803,19.2675,1.4961,2.5417,4.8131,39.318000000000005,11.5682,312,5.0
2020-04-19,ak,overall,overall,0.0,11.5773,0.0,6.595,16.4129,9.6173,6.5895,0.0,16.2888,9.2361,5.6567,18.1238,10.0971,9.0856,10.3641,3.6609,4.2871,2.4913,7.7923,0.0,9.0859,60.8087,24.7851,34.5676,79.1691,7.077000000000001,4.5857,7.1246,31.8834,17.6192,7.0559,1.8107,5.5353,46.0464,16.3545,317,5.0
2020-04-20,ak,overall,overall,1.0562,16.4867,2.112,5.4416,10.4745,7.1325,2.2819,1.0562,9.2877,5.3773,2.4779,16.3639,14.4033,7.4082,10.0036,3.9782,3.9704,7.1716,6.6707,1.6904,1.1255,63.8061,24.6926,33.2932,82.2132,7.8345,5.0504,7.4312,29.1596,17.5441,6.1758,1.4354,7.223,44.9073,15.2334,319,2.0
2020-04-21,ak,overall,overall,3.1658,12.1468,5.0526,10.6019,11.5072,8.3987,3.9052,1.8868,8.5485,1.2417,0.0,14.3481,12.3424,13.6047,9.1792,4.0253,0.5497,3.6014,6.9835,0.7171,1.1276,64.4657,17.4629,47.3826,74.0257,8.2634,8.4785,6.3267,29.3964,21.0547,1.5149,2.2544,7.6099,42.4108,20.7492,327,8.0
2020-04-22,ak,overall,overall,2.6975,15.0676,3.0906,9.439,15.1203,6.2505,4.0355,2.1132,6.8225,2.9301,0.4151,18.6914,15.6501,15.8759,11.1766,4.0619,0.5953,1.0059,8.8824,1.3506,3.1212,58.5341,28.08,40.2265,79.6456,9.9968,3.1085,9.3488,24.1907,17.248,7.1541,0.7001,8.1935,53.4958,14.035,333,6.0
2020-04-23,ak,overall,overall,0.5782,14.5433,1.1564,1.4583,14.6653,6.6114,2.3243,0.5782,10.1795,3.5071,0.0,12.5055,15.4125,11.8737,12.5691,1.4428,3.4718,4.0845,7.9517,1.0747,2.4111,61.57899999999999,22.9284,43.9761,69.1998,9.437000000000001,4.9030000000000005,5.7532,35.1991,11.9146,1.8651,0.0,5.6431,45.7915,20.4975,335,2.0
2020-04-24,ak,overall,overall,1.0946,14.9071,1.4009,6.3765,15.7905,8.4904,7.7584,0.3063,11.5209,7.8801,3.8231,18.9672,12.9879,18.1094,18.3708,4.6801,3.8473,2.2837,4.8012,0.2585,5.8622,57.1767,26.3557,48.9199,63.1699,6.5735,5.3691,7.4302,26.2845,14.8306,6.7872,1.9379,8.0241,52.0659,18.6317,337,2.0
2020-04-25,ak,overall,overall,0.9968,18.5192,0.9968,15.1757,27.7418,5.0497,2.3365,0.0,22.0047,5.2444,0.3911,10.9737,10.7679,19.3314,8.1964,5.3037,0.2759,0.2759,14.5063,9.6172,4.7028,52.9784,30.5902,37.8071,70.3432,8.9422,4.6667,2.3018,38.7777,14.1019,1.0731,10.4152,6.7666,43.4342,26.0241,337,0.0
2020-04-26,ak,overall,overall,0.0,14.1661,0.609,6.4913,14.6139,6.7463,4.2069,0.6026,11.2288,4.3227,2.5511,14.318,11.7524,11.5023,10.4877,4.792,1.319,1.0907,6.472,0.0,4.2198,62.1525,22.4064,45.2741,64.9218,11.1018,3.9708,4.6035,26.3336,16.0345,3.8615,2.4822,8.5206,48.7392,17.4096,339,2.0
