,state,feature,importance_score,ranking
0,ak,pct_cmnty_cli_weighted,0.2643445134162903,1
26,ak,pct_worked_outside_home_weighted,0.08664156496524811,2
10,ak,pct_avoid_contact_all_or_most_time_weighted,0.08038508892059326,3
8,ak,pct_self_runny_nose_weighted,0.04784385859966278,4
11,ak,pct_self_none_of_above_weighted,0.04083685204386711,5
5,ak,pct_self_fever_weighted,0.039972931146621704,6
17,ak,pct_self_multiple_symptoms_weighted,0.034721557050943375,7
29,ak,pct_self_cough_weighted,0.034436583518981934,8
22,ak,pct_self_tiredness_or_exhaustion_weighted,0.023996369913220406,9
25,ak,pct_self_other_weighted,0.02358602173626423,10
14,ak,pct_chronic_lung_disease_weighted,0.023379946127533913,11
21,ak,pct_heart_disease_weighted,0.02281556837260723,12
6,ak,pct_asthma_weighted,0.02141699381172657,13
1,ak,pct_self_anosmia_ageusia_weighted,0.019148312509059906,14
13,ak,pct_self_persistent_pain_pressure_in_chest_weighted,0.01898270472884178,15
9,ak,pct_self_sore_throat_weighted,0.017131881788372993,16
27,ak,pct_hh_shortness_of_breath_weighted,0.01654132269322872,17
4,ak,pct_hh_sore_throat_weighted,0.01636834815144539,18
19,ak,pct_self_nausea_vomiting_weighted,0.01591818779706955,19
32,ak,pct_self_diarrhea_weighted,0.014293611980974674,20
30,ak,pct_self_shortness_of_breath_weighted,0.013917609117925167,21
15,ak,pct_no_above_medical_conditions_weighted,0.013024643994867802,22
3,ak,pct_hh_cli_weighted,0.012588577345013618,23
24,ak,pct_hh_difficulty_breathing_weighted,0.012222704477608204,24
18,ak,pct_cancer_weighted,0.010636183433234692,25
20,ak,pct_multiple_medical_conditions_weighted,0.010464192368090153,26
23,ak,pct_diabetes_weighted,0.00925449375063181,27
7,ak,pct_autoimmune_disorder_weighted,0.009204721078276634,28
28,ak,pct_hh_cough_weighted,0.009028968401253223,29
31,ak,pct_high_blood_pressure_weighted,0.0071103512309491634,30
2,ak,pct_hh_fever_weighted,0.006540303118526936,31
33,ak,pct_self_difficulty_breathing_weighted,0.006524165626615286,32
34,ak,pct_kidney_disease_weighted,0.006102964747697115,33
16,ak,pct_self_nasal_congestion_weighted,0.006025895942002535,34
12,ak,pct_self_muscle_joint_aches_weighted,0.004592058248817921,35
700,al,pct_cmnty_cli_weighted,0.49776631593704224,1
710,al,pct_avoid_contact_all_or_most_time_weighted,0.06394197046756744,2
703,al,pct_hh_cli_weighted,0.057399388402700424,3
702,al,pct_hh_fever_weighted,0.05081919580698013,4
726,al,pct_worked_outside_home_weighted,0.040071066468954086,5
708,al,pct_self_runny_nose_weighted,0.0378253348171711,6
729,al,pct_self_cough_weighted,0.024371378123760223,7
733,al,pct_self_difficulty_breathing_weighted,0.022060895338654518,8
731,al,pct_high_blood_pressure_weighted,0.019841406494379044,9
704,al,pct_hh_sore_throat_weighted,0.01764047145843506,10
701,al,pct_self_anosmia_ageusia_weighted,0.016470231115818024,11
716,al,pct_self_nasal_congestion_weighted,0.014822027646005154,12
724,al,pct_hh_difficulty_breathing_weighted,0.013378416188061237,13
732,al,pct_self_diarrhea_weighted,0.012779399752616882,14
719,al,pct_self_nausea_vomiting_weighted,0.01215333305299282,15
713,al,pct_self_persistent_pain_pressure_in_chest_weighted,0.009268861263990402,16
721,al,pct_heart_disease_weighted,0.009011413902044296,17
709,al,pct_self_sore_throat_weighted,0.00693017290905118,18
711,al,pct_self_none_of_above_weighted,0.006747114937752485,19
720,al,pct_multiple_medical_conditions_weighted,0.0067145065404474735,20
734,al,pct_kidney_disease_weighted,0.006583342328667641,21
712,al,pct_self_muscle_joint_aches_weighted,0.005669590551406145,22
723,al,pct_diabetes_weighted,0.005612870678305626,23
728,al,pct_hh_cough_weighted,0.005218700505793095,24
705,al,pct_self_fever_weighted,0.004379072226583958,25
725,al,pct_self_other_weighted,0.004367147106677294,26
727,al,pct_hh_shortness_of_breath_weighted,0.004196255933493376,27
722,al,pct_self_tiredness_or_exhaustion_weighted,0.003947296179831028,28
730,al,pct_self_shortness_of_breath_weighted,0.0036723800003528595,29
714,al,pct_chronic_lung_disease_weighted,0.0034859951119869947,30
706,al,pct_asthma_weighted,0.003279631957411766,31
707,al,pct_autoimmune_disorder_weighted,0.002818356966599822,32
715,al,pct_no_above_medical_conditions_weighted,0.0027966124471277,33
718,al,pct_cancer_weighted,0.0021318194922059774,34
717,al,pct_self_multiple_symptoms_weighted,0.0018279219511896372,35
560,ar,pct_cmnty_cli_weighted,0.42858776450157166,1
570,ar,pct_avoid_contact_all_or_most_time_weighted,0.18143916130065918,2
564,ar,pct_hh_sore_throat_weighted,0.05782928317785263,3
